Description Frequency
UHF 1,457.5
UHF 2,457.513
UHF 3,457.525
UHF 4,457.538
UHF 5,457.55
UHF 6,457.563
UHF 7,457.575
UHF 8,457.588
UHF 9,457.6
UHF 10,457.613
UHF 11,457.625
UHF 12,457.638
UHF 13,457.65
UHF 14,457.663
UHF 15,457.675
UHF 16,457.688
UHF 17,457.7
UHF 18,457.713
UHF 19,457.725
UHF 20,457.738
UHF 21,457.75
UHF 22,457.763
UHF 23,457.775
UHF 24,457.788
UHF 25,457.8
UHF 26,457.813
UHF 27,457.825
UHF 28,457.838
UHF 29,457.85
UHF 30,467.5
UHF 31,467.513
UHF 32,467.525
UHF 33,467.538
UHF 34,467.55
UHF 35,467.563
UHF 36,467.575
UHF 37,467.588
UHF 38,467.6
UHF 39,467.613
UHF 40,467.625
UHF 41,467.638
UHF 42,467.65
UHF 43,467.663
UHF 44,467.675
UHF 45,467.688
UHF 46,467.7
UHF 47,467.713
UHF 48,467.725
UHF 49,467.738
UHF 50,467.75
UHF 51,467.763
UHF 52,467.775
UHF 53,467.788
UHF 54,467.8
UHF 55,467.813
UHF 56,467.825
UHF 57,467.838
UHF 58,467.85
